Code point(s)	Character(s)	Tab completion sequence(s)	Unicode name(s)	base
U+2639	🙁	\frowny, \:(	White Frowning Face	☹
U+263A	🙂	\smiley, \:)	White Smiling Face	☺
U+270A	✊️	\punch, \fistbump	Raised Fist	✊
U+270B	✋️	\hand, \highfive	Raised Hand	✋
U+270C	✌️	\peace, \victory	Victory Hand	✌
U+270D	✍️	\write, \writinghand	Writing Hand	✍
U+1F603	😃	\smile, \:D	Smiling Face with Open Mouth	
U+1F604	😄	\bigsmile, \:DD	Smiling Face with Open Mouth and Smiling Eyes	
U+1F609	😉	\wink, \;), \;D	Winking Face	
U+1F610	😐	\neutral, \:|	Neutral Face	
U+1F611	😑	\expressionless, \-.-	Expressionless Face	
U+1F615	😕	\confused, \:/	Confused Face	
U+1F616	😖	\frustrated, \>:S	Confounded Face	
U+1F61B	😛	\tongue, \:P	Face with Stuck-Out Tongue	
U+1F622	😢	\cry, \:'(	Crying Face	
U+1F643	🙃	\upside_down, \(:	Upside-Down Face	
U+1F605	😅	\sweat, \:'D|	Smiling Face with Open Mouth & Cold Sweat	
U+1F61C	😜	\wink_tongue, \;P	Face with Stuck-Out Tongue & Winking Eye	
