code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1D2E0	𝋠	1D2E0..1D2FF	Mayan Numerals	Mayan numeral zero		
U+1D2E1	𝋡	1D2E0..1D2FF	Mayan Numerals	Mayan numeral one		
U+1D2E2	𝋢	1D2E0..1D2FF	Mayan Numerals	Mayan numeral two		
U+1D2E3	𝋣	1D2E0..1D2FF	Mayan Numerals	Mayan numeral three		
U+1D2E4	𝋤	1D2E0..1D2FF	Mayan Numerals	Mayan numeral four		
U+1D2E5	𝋥	1D2E0..1D2FF	Mayan Numerals	Mayan numeral five		
U+1D2E6	𝋦	1D2E0..1D2FF	Mayan Numerals	Mayan numeral six		
U+1D2E7	𝋧	1D2E0..1D2FF	Mayan Numerals	Mayan numeral seven		
U+1D2E8	𝋨	1D2E0..1D2FF	Mayan Numerals	Mayan numeral eight		
U+1D2E9	𝋩	1D2E0..1D2FF	Mayan Numerals	Mayan numeral nine		
U+1D2EA	𝋪	1D2E0..1D2FF	Mayan Numerals	Mayan numeral ten		
U+1D2EB	𝋫	1D2E0..1D2FF	Mayan Numerals	Mayan numeral eleven		
U+1D2EC	𝋬	1D2E0..1D2FF	Mayan Numerals	Mayan numeral twelve		
U+1D2ED	𝋭	1D2E0..1D2FF	Mayan Numerals	Mayan numeral thirteen		
U+1D2EE	𝋮	1D2E0..1D2FF	Mayan Numerals	Mayan numeral fourteen		
U+1D2EF	𝋯	1D2E0..1D2FF	Mayan Numerals	Mayan numeral fifteen		
U+1D2F0	𝋰	1D2E0..1D2FF	Mayan Numerals	Mayan numeral sixteen		
U+1D2F1	𝋱	1D2E0..1D2FF	Mayan Numerals	Mayan numeral seventeen		
U+1D2F2	𝋲	1D2E0..1D2FF	Mayan Numerals	Mayan numeral eighteen		
U+1D2F3	𝋳	1D2E0..1D2FF	Mayan Numerals	Mayan numeral nineteen		
