code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1E00	Ḁ	1E00..1EFF	Latin Extended Additional	Latin capital letter a with ring below		
U+1E01	ḁ	1E00..1EFF	Latin Extended Additional	Latin small letter a with ring below		
U+1E02	Ḃ	1E00..1EFF	Latin Extended Additional	Latin capital letter b with dot above		
U+1E03	ḃ	1E00..1EFF	Latin Extended Additional	Latin small letter b with dot above		
U+1E04	Ḅ	1E00..1EFF	Latin Extended Additional	Latin capital letter b with dot below		
U+1E05	ḅ	1E00..1EFF	Latin Extended Additional	Latin small letter b with dot below		
U+1E06	Ḇ	1E00..1EFF	Latin Extended Additional	Latin capital letter b with line below		
U+1E07	ḇ	1E00..1EFF	Latin Extended Additional	Latin small letter b with line below		
U+1E08	Ḉ	1E00..1EFF	Latin Extended Additional	Latin capital letter c with cedilla and acute		
U+1E09	ḉ	1E00..1EFF	Latin Extended Additional	Latin small letter c with cedilla and acute		
U+1E0A	Ḋ	1E00..1EFF	Latin Extended Additional	Latin capital letter d with dot above		
U+1E0B	ḋ	1E00..1EFF	Latin Extended Additional	Latin small letter d with dot above		
U+1E0C	Ḍ	1E00..1EFF	Latin Extended Additional	Latin capital letter d with dot below		
U+1E0D	ḍ	1E00..1EFF	Latin Extended Additional	Latin small letter d with dot below		
U+1E0E	Ḏ	1E00..1EFF	Latin Extended Additional	Latin capital letter d with line below		
U+1E0F	ḏ	1E00..1EFF	Latin Extended Additional	Latin small letter d with line below		
U+1E10	Ḑ	1E00..1EFF	Latin Extended Additional	Latin capital letter d with cedilla		
U+1E11	ḑ	1E00..1EFF	Latin Extended Additional	Latin small letter d with cedilla		
U+1E12	Ḓ	1E00..1EFF	Latin Extended Additional	Latin capital letter d with circumflex below		
U+1E13	ḓ	1E00..1EFF	Latin Extended Additional	Latin small letter d with circumflex below		
U+1E14	Ḕ	1E00..1EFF	Latin Extended Additional	Latin capital letter e with macron and grave		
U+1E15	ḕ	1E00..1EFF	Latin Extended Additional	Latin small letter e with macron and grave		
U+1E16	Ḗ	1E00..1EFF	Latin Extended Additional	Latin capital letter e with macron and acute		
U+1E17	ḗ	1E00..1EFF	Latin Extended Additional	Latin small letter e with macron and acute		
U+1E18	Ḙ	1E00..1EFF	Latin Extended Additional	Latin capital letter e with circumflex below		
U+1E19	ḙ	1E00..1EFF	Latin Extended Additional	Latin small letter e with circumflex below		
U+1E1A	Ḛ	1E00..1EFF	Latin Extended Additional	Latin capital letter e with tilde below		
U+1E1B	ḛ	1E00..1EFF	Latin Extended Additional	Latin small letter e with tilde below		
U+1E1C	Ḝ	1E00..1EFF	Latin Extended Additional	Latin capital letter e with cedilla and breve		
U+1E1D	ḝ	1E00..1EFF	Latin Extended Additional	Latin small letter e with cedilla and breve		
U+1E1E	Ḟ	1E00..1EFF	Latin Extended Additional	Latin capital letter f with dot above		
U+1E1F	ḟ	1E00..1EFF	Latin Extended Additional	Latin small letter f with dot above		
U+1E20	Ḡ	1E00..1EFF	Latin Extended Additional	Latin capital letter g with macron		
U+1E21	ḡ	1E00..1EFF	Latin Extended Additional	Latin small letter g with macron		
U+1E22	Ḣ	1E00..1EFF	Latin Extended Additional	Latin capital letter h with dot above		
U+1E23	ḣ	1E00..1EFF	Latin Extended Additional	Latin small letter h with dot above		
U+1E24	Ḥ	1E00..1EFF	Latin Extended Additional	Latin capital letter h with dot below		
U+1E25	ḥ	1E00..1EFF	Latin Extended Additional	Latin small letter h with dot below		
U+1E26	Ḧ	1E00..1EFF	Latin Extended Additional	Latin capital letter h with diaeresis		
U+1E27	ḧ	1E00..1EFF	Latin Extended Additional	Latin small letter h with diaeresis		
U+1E28	Ḩ	1E00..1EFF	Latin Extended Additional	Latin capital letter h with cedilla		
U+1E29	ḩ	1E00..1EFF	Latin Extended Additional	Latin small letter h with cedilla		
U+1E2A	Ḫ	1E00..1EFF	Latin Extended Additional	Latin capital letter h with breve below		
U+1E2B	ḫ	1E00..1EFF	Latin Extended Additional	Latin small letter h with breve below		
U+1E2C	Ḭ	1E00..1EFF	Latin Extended Additional	Latin capital letter i with tilde below		
U+1E2D	ḭ	1E00..1EFF	Latin Extended Additional	Latin small letter i with tilde below		
U+1E2E	Ḯ	1E00..1EFF	Latin Extended Additional	Latin capital letter i with diaeresis and acute		
U+1E2F	ḯ	1E00..1EFF	Latin Extended Additional	Latin small letter i with diaeresis and acute		
U+1E30	Ḱ	1E00..1EFF	Latin Extended Additional	Latin capital letter k with acute		
U+1E31	ḱ	1E00..1EFF	Latin Extended Additional	Latin small letter k with acute		
U+1E32	Ḳ	1E00..1EFF	Latin Extended Additional	Latin capital letter k with dot below		
U+1E33	ḳ	1E00..1EFF	Latin Extended Additional	Latin small letter k with dot below		
U+1E34	Ḵ	1E00..1EFF	Latin Extended Additional	Latin capital letter k with line below		
U+1E35	ḵ	1E00..1EFF	Latin Extended Additional	Latin small letter k with line below		
U+1E36	Ḷ	1E00..1EFF	Latin Extended Additional	Latin capital letter l with dot below		
U+1E37	ḷ	1E00..1EFF	Latin Extended Additional	Latin small letter l with dot below		
U+1E38	Ḹ	1E00..1EFF	Latin Extended Additional	Latin capital letter l with dot below and macron		
U+1E39	ḹ	1E00..1EFF	Latin Extended Additional	Latin small letter l with dot below and macron		
U+1E3A	Ḻ	1E00..1EFF	Latin Extended Additional	Latin capital letter l with line below		
U+1E3B	ḻ	1E00..1EFF	Latin Extended Additional	Latin small letter l with line below		
U+1E3C	Ḽ	1E00..1EFF	Latin Extended Additional	Latin capital letter l with circumflex below		
U+1E3D	ḽ	1E00..1EFF	Latin Extended Additional	Latin small letter l with circumflex below		
U+1E3E	Ḿ	1E00..1EFF	Latin Extended Additional	Latin capital letter m with acute		
U+1E3F	ḿ	1E00..1EFF	Latin Extended Additional	Latin small letter m with acute		
U+1E40	Ṁ	1E00..1EFF	Latin Extended Additional	Latin capital letter m with dot above		
U+1E41	ṁ	1E00..1EFF	Latin Extended Additional	Latin small letter m with dot above		
U+1E42	Ṃ	1E00..1EFF	Latin Extended Additional	Latin capital letter m with dot below		
U+1E43	ṃ	1E00..1EFF	Latin Extended Additional	Latin small letter m with dot below		
U+1E44	Ṅ	1E00..1EFF	Latin Extended Additional	Latin capital letter n with dot above		
U+1E45	ṅ	1E00..1EFF	Latin Extended Additional	Latin small letter n with dot above		
U+1E46	Ṇ	1E00..1EFF	Latin Extended Additional	Latin capital letter n with dot below		
U+1E47	ṇ	1E00..1EFF	Latin Extended Additional	Latin small letter n with dot below		
U+1E48	Ṉ	1E00..1EFF	Latin Extended Additional	Latin capital letter n with line below		
U+1E49	ṉ	1E00..1EFF	Latin Extended Additional	Latin small letter n with line below		
U+1E4A	Ṋ	1E00..1EFF	Latin Extended Additional	Latin capital letter n with circumflex below		
U+1E4B	ṋ	1E00..1EFF	Latin Extended Additional	Latin small letter n with circumflex below		
U+1E4C	Ṍ	1E00..1EFF	Latin Extended Additional	Latin capital letter o with tilde and acute		
U+1E4D	ṍ	1E00..1EFF	Latin Extended Additional	Latin small letter o with tilde and acute		
U+1E4E	Ṏ	1E00..1EFF	Latin Extended Additional	Latin capital letter o with tilde and diaeresis		
U+1E4F	ṏ	1E00..1EFF	Latin Extended Additional	Latin small letter o with tilde and diaeresis		
U+1E50	Ṑ	1E00..1EFF	Latin Extended Additional	Latin capital letter o with macron and grave		
U+1E51	ṑ	1E00..1EFF	Latin Extended Additional	Latin small letter o with macron and grave		
U+1E52	Ṓ	1E00..1EFF	Latin Extended Additional	Latin capital letter o with macron and acute		
U+1E53	ṓ	1E00..1EFF	Latin Extended Additional	Latin small letter o with macron and acute		
